"DATE";"TIME";"INJET01_0";"INJET01_1";"INJET02_0";"INJET02_1";"INJET03_0";"INJET03_1";"INJET04_0";"INJET04_1";"INJET05_0";"INJET05_1";"INJET06_0";"INJET06_1";"INJET07_0";"INJET07_1";"INJET08_0";"INJET08_1";"INJET09_0";"INJET09_1";"INJET10_0";"INJET10_1";"INJET11_0";"INJET11_1";"INJET12_0";"INJET12_1";"INJET13_0";"INJET13_1";"INJET14_0";"INJET14_1";"INJET15_0";"INJET15_1";"INJET16_0";"INJET16_1";"INJET17_0";"INJET17_1";"INJET18_0";"INJET18_1";"INJET19_0";"INJET19_1";"INJET20_0";"INJET20_1";"INJET21_0";"INJET21_1";"INJET22_0";"INJET22_1";"INJET23_0";"INJET23_1";"INJET24_0";"INJET24_1"
"12/01/2016";"17:29:28";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:49";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:50";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:51";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:52";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:53";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:54";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:55";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:56";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:57";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:58";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:29:59";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:00";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:01";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:02";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:03";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:04";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:05";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:06";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:07";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:08";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:09";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:10";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:11";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"12/01/2016";"17:30:12";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
